[0719/213254.045:ERROR:cc\raster\one_copy_raster_buffer_provider.cc:282] Creation of StagingBuffer's SharedImage failed.
[0719/213529.792:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x2dc402ac9500]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0719/213529.810:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x2dc402ac9500]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0719/213529.835:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x2dc402ac9500]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0719/213529.842:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x2dc402ac9500]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0719/213701.336:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x6784027d9500]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0719/213701.357:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x6784027d9500]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0719/213701.379:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x6784027d9500]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0719/213701.387:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x6784027d9500]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0719/213913.606:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x548403e8c000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0719/213913.626:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x548403e8c000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0719/213913.650:ERROR:gpu\command_buffer\service\gl_utils.cc:386] [.WebGL-0x548403e8c000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
